id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
295948,Yo! Pizza,Bathinda,3.8,50,150.0,"Pizzas,Chinese",22120646000003,https://www.swiggy.com/restaurants/yo-pizza-city-prasram-nagar-bathinda-295948,"Yo! Pizza, Model Town",Menu/295948.json
110301,Harman Amritsari Kulcha,Bathinda,3.7,100,120.0,"North Indian,Punjabi",22118008000005,https://www.swiggy.com/restaurants/harman-amritsari-kulcha-the-mall-road-malviya-nagar-bathinda-110301,"Harman Amritsari Kulcha, 2089, Near VRC Hotel, The Mall, Near Hanuman Chowk, Bathinda, Punjab 151001",Menu/110301.json
258912,Mani Dhaba (Ajit Road),Bathinda,3.9,100,100.0,"North Indian,Snacks",22121008000125,https://www.swiggy.com/restaurants/mani-dhaba-ajit-road-city-old-city-bathinda-258912,"Mani Dhaba (Ajit Road), Bathinda City,Bathinda City,Bathinda",Menu/258912.json
111339,Rajasthan Mishthan Bhandar,Bathinda,3.2,50,100.0,"Sweets,Bakery",12121081000522,https://www.swiggy.com/restaurants/rajasthan-mishthan-bhandar-hanuman-chowk-old-city-bathinda-111339,"Rajasthan Mishthan Bhandar, Hanuman Chowk, Bathinda",Menu/111339.json
457085,THE PIZZA ENGINEERS,Bathinda,4.0,20,100.0,"Pizzas,Italian",22121646000496,https://www.swiggy.com/restaurants/the-pizza-engineers-bathinda-city-bathinda-457085,"THE PIZZA ENGINEERS, Old City Road, mehna Chownk Bathinda, Punjab-151001",Menu/457085.json
397917,Delhi Tandoori Tikka,Bathinda,3.5,100,150.0,"North Indian,Chinese",22121646000185,https://www.swiggy.com/restaurants/delhi-tandoori-tikka-bathinda-city-bathinda-397917,"Delhi Tandoori Tikka, 100 Feet Road, Near ICICI Bank, Bathinda, bathinda-151001",Menu/397917.json
109826,Moti Mahal,Bathinda,3.9,50,300.0,North Indian,license,https://www.swiggy.com/restaurants/moti-mahal-gt-road-chandsar-basti-bathinda-109826,"Moti Mahal, SCF 41, City Plaza Market, Hanuman Chowk, Bathinda",Menu/109826.json
407899,Vaango,Bathinda,4.0,50,250.0,Indian,12118081000146,https://www.swiggy.com/restaurants/vaango-bathinda-city-bathinda-407899,"Vaango, The Food Street, BIBI WALA ROAD, Near Dhillon Gym Bathinda, Punjab, 151001",Menu/407899.json
239191,Punjabi Flavour (Amritsari Kulcha ),Bathinda,3.6,100,150.0,"Chaat,Chinese",12119081000228,https://www.swiggy.com/restaurants/punjabi-flavour-amritsari-kulcha-city-malviya-nagar-bathinda-239191,"Punjabi Flavour (Amritsari Kulcha ), Hanuman Chowk bathinda",Menu/239191.json
110290,Station Kulcha Bar,Bathinda,3.8,100,100.0,Fast Food,22118646000069,https://www.swiggy.com/restaurants/station-kulcha-bar-100-feet-road-batinda-bathinda-110290,"Station Kulcha Bar, GTB Nagar, Near Maheshwari hospital, 100 ft road, Bathinda, Punjab 151001",Menu/110290.json
510205,pizza king,Bathinda,3.5,50,130.0,Pizzas,22122008000031,https://www.swiggy.com/restaurants/pizza-king-bathinda-city-bathinda-510205,"pizza king, 6W8W+R4C, Pukhraj Colony, Minucha colony, Chandsar Basti, Bathinda, Punjab 151001, India",Menu/510205.json
388327,Chinese xpress,Bathinda,4.0,100,150.0,"Chinese,North Indian",22120008000349,https://www.swiggy.com/restaurants/chinese-xpress-bathinda-city-bathinda-388327,"Chinese xpress, Bhatti Road, Bathinda, Punjab-151001",Menu/388327.json
520246,DOMINICK PIZZA,Bathinda,4.1,20,200.0,Pizzas,12121081000305,https://www.swiggy.com/restaurants/dominick-pizza-bathinda-city-bathinda-520246,"DOMINICK PIZZA, DOMINICK PIZZA, Batinda, Bathinda, Punjab 151001, India",Menu/520246.json
462490,Guru Nanak Rasoi,Bathinda,3.5,20,100.0,"North Indian,Chinese",22121646000347,https://www.swiggy.com/restaurants/guru-nanak-rasoi-bathinda-city-bathinda-462490,"Guru Nanak Rasoi, Street no 13, Barnala Bypass, Barnala, Road, National Colony, Bathinda, Punjab 151001, India",Menu/462490.json
152416,Shree Shayam Vaishno Dhaba,Bathinda,4.2,1,130.0,"North Indian,Snacks",12116061000143,https://www.swiggy.com/restaurants/shree-shayam-vaishno-dhaba-guniyani-road-vishal-nagar-bathinda-152416,"Shree Shayam Vaishno Dhaba, SCF -93/94 Guniyani Road , Bathinda",Menu/152416.json
111562,National Bakery (Since 1948),Bathinda,4.0,100,150.0,Bakery,12120081000028,https://www.swiggy.com/restaurants/national-bakery-since-1948-the-mall-road-old-city-bathinda-111562,"National Bakery (Since 1948), Shop-4878, Opp. Hanuman Mandir, Main Bazar",Menu/111562.json
111345,Kapoor Chinese Corner,Bathinda,4.0,20,150.0,Chinese,12119081000025,https://www.swiggy.com/restaurants/kapoor-chinese-corner-the-mall-road-nai-basti-bathinda-111345,"Kapoor Chinese Corner, Gol Diggi, Shop No. 11-12, The Mall Road, Opp. Railway Station",Menu/111345.json
168027,KFC,Bathinda,3.9,100,400.0,"American,Snacks",12118081000146,https://www.swiggy.com/restaurants/kfc-bharat-nagar-bathinda-168027,"KFC, KFC RESTAURANT, FOOD STREET, NEXT TO DHILLON GYM, BIBI WALA ROAD, BHARAT NAGAR, BHATINDA, PUNJAB 151001",Menu/168027.json
290613,Hello Foods,Bathinda,4.2,20,100.0,Fast Food,license,https://www.swiggy.com/restaurants/hello-foods-city-old-city-bathinda-290613,"Hello Foods, Old City, Bathinda, Punjab 151005",Menu/290613.json
380134,Khatu Ji Vaishnu Dhaba,Bathinda,4.1,500,100.0,"North Indian,Indian",license,https://www.swiggy.com/restaurants/khatu-ji-vaishnu-dhaba-bathinda-city-bathinda-380134,"Khatu Ji Vaishnu Dhaba, Bhatti Road,Near Beri Wala Baba,Bathinda,Punjab 151001",Menu/380134.json
129251,Jhakaas,Bathinda,4.0,20,200.0,Chinese,22118008000109,https://www.swiggy.com/restaurants/jhakaas-kikar-bazar-old-city-bathinda-129251,"Jhakaas, kikar bazar",Menu/129251.json
152368,Gupta Namkeen Bhandar,Bathinda,3.9,20,50.0,"North Indian,Snacks",22119646000204,https://www.swiggy.com/restaurants/gupta-namkeen-bhandar-new-basti-chandsar-basti-bathinda-152368,"Gupta Namkeen Bhandar, Pukhraj Colony Street No.9 Corner Bhati Road Bathinda, Punjab 151001, India",Menu/152368.json
455918,Burger13,Bathinda,4.2,20,100.0,"Pizzas,American",22121646000451,https://www.swiggy.com/restaurants/burger13-bathinda-city-bathinda-455918,"Burger13, 14no, Bathinda Rd, Batinda, Bathinda, Punjab 151001, India",Menu/455918.json
542562,La Pino'z Pizza,Bathinda,4.3,100,300.0,"Pizzas,Italian",12122081000071,https://www.swiggy.com/restaurants/la-pinoz-pizza-bathinda-city-bathinda-542562,"La Pino'z Pizza, SCO 19, OPPOSITE DADI POTI PARK, PHASE 3, MODEL TOWN, BATHINDA, PUNJAB",Menu/542562.json
481180,New Shama Dhaba,Bathinda,3.7,50,150.0,"North Indian,Mughlai",22122646000019,https://www.swiggy.com/restaurants/new-shama-dhaba-bathinda-city-bathinda-481180,"New Shama Dhaba, SHOP NO. 2, 100 ft. ROAD, RAJINDAR SINGH MARKET NEAR GHORE WALA CHOWK, BATHINDA, PUNJAB , Bathinda , Bathinda-2 (Goneana, P/S Civil Lines, Bathinda Cantt), Bathinda, Punjab-151005",Menu/481180.json
110295,Pizzano,Bathinda,4.0,50,150.0,Chinese,12118081000147,https://www.swiggy.com/restaurants/pizzano-the-mall-road-malviya-nagar-bathinda-110295,"Pizzano, Mall Road, Malviya Nagar, Bathinda, Punjab 151001, India",Menu/110295.json
294673,Kapoor Kabab Korner,Bathinda,3.4,20,150.0,North Indian,12119081000025,https://www.swiggy.com/restaurants/kapoor-kabab-korner-city-near-gol-digi-bathinda-bathinda-294673,"Kapoor Kabab Korner, Near Gol Digi Bathinda",Menu/294673.json
109992,Rohit Vaishnu Dhaba,Bathinda,3.8,100,120.0,North Indian,12117081000010,https://www.swiggy.com/restaurants/rohit-vaishnu-dhaba-the-mall-road-old-city-bathinda-109992,"Rohit Vaishnu Dhaba, Opp Railway Staion, Bathinda",Menu/109992.json
129257,Emly,Bathinda,4.2,50,150.0,Italian,22121646000254,https://www.swiggy.com/restaurants/emly-100-ft-road-batinda-bathinda-129257,"Emly, 100ft road",Menu/129257.json
111343,Chai Villa,Bathinda,3.7,20,100.0,"Beverages,Snacks",22120008000389,https://www.swiggy.com/restaurants/chai-villa-100-feet-road-batinda-bathinda-111343,"Chai Villa, Opp. Maheshwari Hospital, 100ft Road",Menu/111343.json
110899,Nand Juice Centre,Bathinda,3.0,50,150.0,"Beverages,Snacks",license,https://www.swiggy.com/restaurants/nand-juice-centre-the-mall-road-old-city-bathinda-110899,"Nand Juice Centre, Mall Road, Old City, Bathinda, Punjab 151001, India",Menu/110899.json
340999,Happy Dhaba,Bathinda,4.1,100,150.0,North Indian,64622121000163,https://www.swiggy.com/restaurants/happy-dhaba-city-bhatti-road-bathinda-340999,"Happy Dhaba, Near Kiran Sarwal Eye Hospital ,Bhatti Road , Bathinda",Menu/340999.json
200538,Pizza Pizza Cafe,Bathinda,4.0,500,150.0,"Pizzas,Snacks",12119081000079,https://www.swiggy.com/restaurants/pizza-pizza-cafe-city-batinda-bathinda-200538,"Pizza Pizza Cafe, SCO 33 model town phase 3 opposite dadi poti park bathibda",Menu/200538.json
